Driver,Car#,Crash Rate (%),Pass Efficiency (NDOs),Average Speed (mph),Laps Completed,Car Type,Track Type,NDOs,Average Start,Average Finish,Rank,Wins
Driver_1,1,30,15,150,200,Sedan,Dirt Track,44,24,20,20,7
Driver_2,2,30,15,150,200,Sedan,Road Course,22,25,34,3,0
Driver_3,3,30,18,150,200,Convertible,Dirt Track,26,17,20,50,3
Driver_4,4,30,18,154,200,Sedan,Road Course,46,10,27,12,2
Driver_5,5,35,18,154,200,Hatchback,Street Circuit,13,28,19,23,10
Driver_6,6,35,21,154,200,Hatchback,Road Course,37,21,26,35,9
Driver_7,7,35,14,154,200,Coupe,Road Course,10,20,22,44,0
Driver_8,8,35,14,158,208,Convertible,Oval,24,25,38,48,1
Driver_9,9,35,17,158,208,Sedan,Dirt Track,50,8,6,45,4
Driver_10,10,30,17,158,208,Coupe,Road Course,22,1,19,26,4
Driver_11,11,30,17,158,208,Hatchback,Street Circuit,42,31,25,37,10
Driver_12,12,30,20,150,208,Convertible,Dirt Track,31,34,8,30,10
Driver_13,13,30,20,150,208,SUV,Street Circuit,41,8,14,32,9
Driver_14,14,30,13,150,208,Coupe,Street Circuit,25,32,9,20,5
Driver_15,15,35,16,150,208,Coupe,Dirt Track,42,22,16,20,6
Driver_16,16,35,16,154,216,Sedan,Street Circuit,31,9,18,45,3
Driver_17,17,35,16,154,216,Sedan,Dirt Track,42,2,9,12,6
Driver_18,18,35,19,154,216,Coupe,Road Course,23,20,35,27,0
Driver_19,19,35,19,154,216,SUV,Dirt Track,46,22,14,4,2
Driver_20,20,30,19,158,196,SUV,Dirt Track,46,13,22,27,7
Driver_21,21,30,15,158,196,Hatchback,Street Circuit,21,10,16,4,3
Driver_22,22,30,15,158,196,Coupe,Oval,14,6,32,39,2
Driver_23,23,30,15,158,196,Sedan,Oval,44,24,23,4,2
Driver_24,24,30,18,150,204,Convertible,Road Course,39,31,12,32,7
Driver_25,25,35,18,150,204,SUV,Street Circuit,40,2,12,7,9
Driver_26,26,35,18,150,204,Convertible,Street Circuit,24,20,11,5,4
Driver_27,27,35,21,150,204,Coupe,Road Course,44,5,2,29,9
Driver_28,28,35,14,154,204,Hatchback,Street Circuit,13,24,33,23,6
Driver_29,29,35,14,154,204,SUV,Dirt Track,33,29,5,38,1
Driver_30,30,30,17,154,204,Hatchback,Road Course,47,21,5,20,6
Driver_31,31,30,17,154,204,Hatchback,Street Circuit,47,17,1,14,5
Driver_32,32,30,17,158,212,Convertible,Street Circuit,38,36,26,27,3
Driver_33,33,30,20,158,212,Sedan,Dirt Track,22,14,37,11,8
Driver_34,34,30,20,158,212,Hatchback,Road Course,50,10,17,17,1
Driver_35,35,35,13,158,212,Convertible,Street Circuit,38,1,27,32,6
Driver_36,36,35,16,150,212,Sedan,Street Circuit,36,24,17,6,0
Driver_37,37,35,16,150,212,Convertible,Oval,28,28,31,48,10
Driver_38,38,35,16,150,212,Convertible,Street Circuit,18,38,10,32,7
Driver_39,39,35,19,150,212,SUV,Street Circuit,16,33,7,41,1
Driver_40,40,30,19,154,200,Sedan,Dirt Track,13,30,18,31,1
Driver_41,41,30,19,154,200,Coupe,Oval,28,13,16,31,2
Driver_42,42,30,15,154,200,Hatchback,Dirt Track,43,3,5,38,6
Driver_43,43,30,15,154,200,SUV,Dirt Track,43,37,7,7,9
Driver_44,44,30,15,158,200,Coupe,Dirt Track,38,27,23,16,6
Driver_45,45,35,18,158,200,Sedan,Dirt Track,23,21,26,26,6
Driver_46,46,35,18,158,200,SUV,Oval,22,37,20,26,10
Driver_47,47,35,18,158,200,SUV,Road Course,10,39,15,17,3
Driver_48,48,35,21,150,208,Sedan,Dirt Track,48,32,7,14,3
